Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Alexander Gustafsson,win, Glover Teixeira, 5, 1:07, UFC Fight Night 109 - Gustafsson vs. Teixeira ,May , 28 , 2017, KO ,Punches,Marc Goddard
Alexander Gustafsson,win, Jan Blachowicz, 3, 5:00, UFC Fight Night 93 - Arlovski vs. Barnett,Sep , 03 , 2016, Decision ,Unanimous,Marc Goddard
Alexander Gustafsson,loss, Daniel Cormier, 5, 5:00, UFC 192 - Cormier vs. Gustafsson,Oct , 03 , 2015, Decision ,Split,Herb Dean
Alexander Gustafsson,loss, Anthony Johnson, 1, 2:15, UFC on Fox 14 - Gustafsson vs. Johnson,Jan , 24 , 2015, TKO ,Punches,Marc Goddard
Alexander Gustafsson,win, Jimi Manuwa, 2, 1:18, UFC Fight Night 37 - Gustafsson vs. Manuwa,Mar , 08 , 2014, TKO ,Knee and Punches,Marc Goddard
Alexander Gustafsson,loss, Jon Jones, 5, 5:00, UFC 165 - Jones vs. Gustafsson,Sep , 21 , 2013, Decision ,Unanimous,John McCarthy
Alexander Gustafsson,win, Mauricio Rua, 3, 5:00, UFC on Fox 5 - Henderson vs. Diaz,Dec , 08 , 2012, Decision ,Unanimous,Dan Miragliotta
Alexander Gustafsson,win, Thiago Silva, 3, 5:00, UFC on Fuel TV 2 - Gustafsson vs. Silva,Apr , 14 , 2012, Decision ,Unanimous,Leon Roberts
Alexander Gustafsson,win, Vladimir Matyushenko, 1, 2:13, UFC 141 - Lesnar vs. Overeem,Dec , 30 , 2011, TKO ,Punches,Yves Lavigne
Alexander Gustafsson,win, Matt Hamill, 2, 3:41, UFC 133 - Evans vs. Ortiz 2,Aug , 06 , 2011, TKO ,Punches and Elbows,Dan Miragliotta
Alexander Gustafsson,win, James Te Huna, 1, 4:27, UFC 127 - Penn vs. Fitch,Feb , 27 , 2011, Submission ,Rear-Naked Choke,Marc Goddard
Alexander Gustafsson,win, Cyrille Diabate, 2, 2:41, UFC 120 - Bisping vs. Akiyama,Oct , 16 , 2010, Submission ,Rear-Naked Choke,Leon Roberts
Alexander Gustafsson,loss, Phil Davis, 1, 4:55, UFC 112 - Invincible,Apr , 10 , 2010, Submission ,Anaconda Choke,Dan Miragliotta
Alexander Gustafsson,win, Jared Hamman, 1, 0:41, UFC 105 - Couture vs. Vera,Nov , 14 , 2009, KO ,Punches,Kevin Mulhall
Alexander Gustafsson,win, Vladimir Shemarov, 1, 2:37, Superior Challenge 3 - Untamed,May , 30 , 2009, KO ,Punches,N/A
Alexander Gustafsson,win, Pedro Quetglas, 1, 2:08, The Zone FC 3 - Shockwave,Nov , 08 , 2008, TKO ,Punches,N/A
Alexander Gustafsson,win, Krzysztof Kulak, 2, 5:00, KSW - Extra,Sep , 13 , 2008, Decision ,Unanimous,Robert Kostecki
Alexander Gustafsson,win, Matteo Minonzio, 1, 3:52, The Zone FC 2 - Showdown,May , 10 , 2008, TKO ,Punches,N/A
Alexander Gustafsson,win, Florian Muller, 2, 3:44, FS - Fite Selektor,Mar , 13 , 2008, TKO ,Punches,N/A
Alexander Gustafsson,win, Farbod Fadami, 1, 2:31, The Zone FC 1 - The Zone,Feb , 09 , 2008, TKO ,Punches,N/A
Alexander Gustafsson,win, Mikael Haydari, 1, 0:50, FF 9 - FinnFight 9,Dec , 15 , 2007, TKO ,Punches,N/A
Alexander Gustafsson,win, Saku Heikkola, 2, 3:42, Shooto Finland - Chicago Collision 3,Nov , 17 , 2007, Submission ,Rear-Naked Choke,N/A
