Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Jan Blachowicz,loss, Thiago Santos, 3, 0:39, UFC Fight Night 145 - Blachowicz vs. Santos,Feb , 23 , 2019, TKO ,Punches,Herb
Jan Blachowicz,win, Nikita Krylov, 2, 2:41, UFC Fight Night 136 - Hunt vs. Oleynik,Sep , 15 , 2018, Submission ,Arm-Triangle Choke,Marc Goddard
Jan Blachowicz,win, Jimi Manuwa, 3, 5:00, UFC Fight Night 127 - Werdum vs. Volkov,Mar , 17 , 2018, Decision ,Unanimous,Leon Roberts
Jan Blachowicz,win, Jared Cannonier, 3, 5:00, UFC on Fox 26 - Lawler vs. dos Anjos,Dec , 16 , 2017, Decision ,Unanimous,Herb Dean
Jan Blachowicz,win, Devin Clark, 2, 3:02, UFC Fight Night 118 - Cerrone vs. Till,Oct , 21 , 2017, Submission ,Rear-Naked Choke,Marc Goddard
Jan Blachowicz,loss, Patrick Cummins, 3, 5:00, UFC 210 - Cormier vs. Johnson 2,Apr , 08 , 2017, Decision ,Majority,John McCarthy
Jan Blachowicz,loss, Alexander Gustafsson, 3, 5:00, UFC Fight Night 93 - Arlovski vs. Barnett,Sep , 03 , 2016, Decision ,Unanimous,Marc Goddard
Jan Blachowicz,win, Igor Pokrajac, 3, 5:00, UFC Fight Night 86 - Rothwell vs. Dos Santos,Apr , 10 , 2016, Decision ,Unanimous,Leon Roberts
Jan Blachowicz,loss, Corey Anderson, 3, 5:00, UFC 191 - Johnson vs. Dodson 2,Sep , 05 , 2015, Decision ,Unanimous,Herb Dean
Jan Blachowicz,loss, Jimi Manuwa, 3, 5:00, UFC Fight Night 64 - Gonzaga vs. Cro Cop 2,Apr , 11 , 2015, Decision ,Unanimous,Marc Goddard
Jan Blachowicz,win, Ilir Latifi, 1, 1:58, UFC Fight Night 53 - Nelson vs. Story,Oct , 04 , 2014, TKO ,Kick to the Body and Punches,Grant Waterman
Jan Blachowicz,win, Goran Reljic, 3, 5:00, KSW 22 - Pride Time,Mar , 16 , 2013, Decision ,Unanimous,Tomasz Bronder
Jan Blachowicz,win, Houston Alexander, 3, 5:00, KSW 20 - Fighting Symphony,Sep , 15 , 2012, Decision ,Unanimous,Tomasz Bronder
Jan Blachowicz,win, Mario Miranda, 3, 5:00, KSW 18 - Unfinished Sympathy,Feb , 25 , 2012, Decision ,Unanimous,Tomasz Bronder
Jan Blachowicz,win, Rameau Thierry Sokoudjou, 3, 5:00, KSW 17 - Revenge,Nov , 26 , 2011, Decision ,Unanimous,Piotr Baginski
Jan Blachowicz,win, Toni Valtonen, 2, 1:23, KSW 16 - Konfrontacja,May , 21 , 2011, Submission ,Rear-Naked Choke,Tomasz Bronder
Jan Blachowicz,loss, Rameau Thierry Sokoudjou, 2, 5:00, KSW 15 - Konfrontacja,Mar , 19 , 2011, TKO ,Retirement,Tomasz Bronder
Jan Blachowicz,win, Daniel Tabera, 2, 4:19, KSW 14 - Judgment Day,Sep , 18 , 2010, TKO ,Corner Stoppage,Tomasz Bronder
Jan Blachowicz,win, Nikolai Onikienko, 2, 2:32, WAFC - World Absolute FC,Jun , 24 , 2010, Submission ,Rear-Naked Choke,N/A
Jan Blachowicz,win, Wojciech Orlowski, 1, 1:37, KSW 13 - Kumite,May , 07 , 2010, Submission ,Rear-Naked Choke,Robert Kostecki
Jan Blachowicz,win, Julio Cezar de Lima, 1, 3:40, KSW 13 - Kumite,May , 07 , 2010, KO ,Punch,Robert Kostecki
Jan Blachowicz,win, Maro Perak, 2, 1:51, KSW 10 - Dekalog,Dec , 12 , 2008, Submission ,Rear-Naked Choke,Robert Kostecki
Jan Blachowicz,win, Christian M'Pumbu, 2, 3:12, KSW - Extra,Sep , 13 , 2008, Submission ,Armbar,Robert Kostecki
Jan Blachowicz,win, Aziz Karaoglu, 1, 4:13, KSW 9 - Konfrontacja,May , 09 , 2008, Submission ,Armbar,Robert Kostecki
Jan Blachowicz,win, Antoni Chmielewski, 2, 2:54, KSW 9 - Konfrontacja,May , 09 , 2008, Submission ,Armbar,Robert Kostecki
Jan Blachowicz,win, Martin Zawada, 2, 5:00, KSW 9 - Konfrontacja,May , 09 , 2008, Decision ,Unanimous,Robert Kostecki
Jan Blachowicz,loss, Andre Fyeet, 1, 1:57, KSW 8 - Konfrontacja,Nov , 10 , 2007, Submission ,Kimura,Robert Kostecki
Jan Blachowicz,win, Daniel Dowda, 1, 1:35, KSW - Elimination,Sep , 15 , 2007, TKO ,Punches,Robert Kostecki
Jan Blachowicz,win, Pawel Gasinski, 1, 2:36, KSW - Elimination,Sep , 15 , 2007, TKO ,Punches,Robert Kostecki
Jan Blachowicz,win, Sebastian Olchawa, 2, 5:00, KSW - Elimination,Sep , 15 , 2007, Decision ,Unanimous,Robert Kostecki
Jan Blachowicz,loss, Marcin Krysztofiak, 2, 5:00, FCP 3 - Khalidov vs. Troeng,Feb , 25 , 2007, Decision ,Unanimous,N/A
