Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Aleksandar Rakic,win, Jimi Manuwa,1, 0:42, UFC Fight Night 153 - Gustafsson vs. Smith,Jun ,1.0,2019.0, KO ,Head Kick,Kevin Sataki
Aleksandar Rakic,win, Devin Clark,1, 4:05, UFC 231 - Holloway vs. Ortega,Dec ,8.0,2018.0, TKO ,Punches,Brian Beauchamp
Aleksandar Rakic,win, Justin Ledet,3, 5:00, UFC Fight Night 134 - Shogun vs. Smith,Jul ,22.0,2018.0, Decision ,Unanimous,Leon Roberts
Aleksandar Rakic,win, Francimar Barroso,3, 5:00, UFC Fight Night 115 - Volkov vs. Struve,Sep ,2.0,2017.0, Decision ,Unanimous,Marc Goddard
Aleksandar Rakic,win, Sergio Souza,1, N/A, AFC - Austrian Fight Challenge 5,Mar ,4.0,2017.0, TKO ,Punches,Grant Waterman
Aleksandar Rakic,win, Martin Batur,1, 0:26, AFC - Austrian Fight Challenge 1,Jun ,20.0,2015.0, KO ,Punch,Jan Vobornik
Aleksandar Rakic,win, Marcin Prachnio,3, 3:00, FFC - Final Fight Championship 16,Dec ,6.0,2014.0, TKO ,Punches,Zlatko Klaric
Aleksandar Rakic,win, Norbert Peter,1, 4:57, HG - Heimgala 2,Sep ,13.0,2014.0, TKO ,Punches,Ceyrhan Bayrakci
Aleksandar Rakic,win, Peter Rozmaring,1, 1:32, Vendetta - Rookies 2,Jul ,6.0,2013.0, Submission ,North-South Choke,Ceyrhan Bayrakci
Aleksandar Rakic,win, Laszlo Czene,1, 0:00, WFC - Challengers 3,Jun ,3.0,2012.0, KO ,Head Kick,
Aleksandar Rakic,win, Richard Longhimo,2, 4:30, Iron Fist - Vendetta 3,Mar ,18.0,2012.0, TKO ,Punches,
Aleksandar Rakic,win, Carsten Lorenz,1, 1:42, FFA - New Talents 15,Feb ,4.0,2012.0, TKO ,Punches,Reiko Bertz
Aleksandar Rakic,loss, Christian Radke,1, 4:34, RTC - Rock the Cage 2,Oct ,15.0,2011.0, Submission ,Guillotine Choke,
Aleksandar Rakic,win, Jimi Manuwa,1, 0:42, UFC Fight Night 153 - Gustafsson vs. Smith,Jun ,1.0,2019.0, KO ,Head Kick,Kevin Sataki
Aleksandar Rakic,win, Devin Clark,1, 4:05, UFC 231 - Holloway vs. Ortega,Dec ,8.0,2018.0, TKO ,Punches,Brian Beauchamp
Aleksandar Rakic,win, Justin Ledet,3, 5:00, UFC Fight Night 134 - Shogun vs. Smith,Jul ,22.0,2018.0, Decision ,Unanimous,Leon Roberts
Aleksandar Rakic,win, Francimar Barroso,3, 5:00, UFC Fight Night 115 - Volkov vs. Struve,Sep ,2.0,2017.0, Decision ,Unanimous,Marc Goddard
Aleksandar Rakic,win, Sergio Souza,1, N/A, AFC - Austrian Fight Challenge 5,Mar ,4.0,2017.0, TKO ,Punches,Grant Waterman
Aleksandar Rakic,win, Martin Batur,1, 0:26, AFC - Austrian Fight Challenge 1,Jun ,20.0,2015.0, KO ,Punch,Jan Vobornik
Aleksandar Rakic,win, Marcin Prachnio,3, 3:00, FFC - Final Fight Championship 16,Dec ,6.0,2014.0, TKO ,Punches,Zlatko Klaric
Aleksandar Rakic,win, Norbert Peter,1, 4:57, HG - Heimgala 2,Sep ,13.0,2014.0, TKO ,Punches,Ceyrhan Bayrakci
Aleksandar Rakic,win, Peter Rozmaring,1, 1:32, Vendetta - Rookies 2,Jul ,6.0,2013.0, Submission ,North-South Choke,Ceyrhan Bayrakci
Aleksandar Rakic,win, Laszlo Czene,1, 0:00, WFC - Challengers 3,Jun ,3.0,2012.0, KO ,Head Kick,
Aleksandar Rakic,win, Richard Longhimo,2, 4:30, Iron Fist - Vendetta 3,Mar ,18.0,2012.0, TKO ,Punches,
Aleksandar Rakic,win, Carsten Lorenz,1, 1:42, FFA - New Talents 15,Feb ,4.0,2012.0, TKO ,Punches,Reiko Bertz
Aleksandar Rakic,loss, Christian Radke,1, 4:34, RTC - Rock the Cage 2,Oct ,15.0,2011.0, Submission ,Guillotine Choke,
Alexander Gustafsson,loss, Anthony Smith,4, 2:38, UFC Fight Night 153 - Gustafsson vs. Smith,Jun ,1.0,2019.0, Submission ,Rear-Naked Choke,Marc Goddard
Alexander Gustafsson,loss, Jon Jones,3, 2:02, UFC 232 - Jones vs. Gustafsson 2,Dec ,29.0,2018.0, KO ,Punches,Mike Beltran
