Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Aleksandar Rakic,win, Jimi Manuwa, 1, 0:42, UFC Fight Night 153 - Gustafsson vs. Smith,Jun , 01 , 2019, KO ,Head Kick,Kevin Sataki
Aleksandar Rakic,win, Devin Clark, 1, 4:05, UFC 231 - Holloway vs. Ortega,Dec , 08 , 2018, TKO ,Punches,Brian Beauchamp
Aleksandar Rakic,win, Justin Ledet, 3, 5:00, UFC Fight Night 134 - Shogun vs. Smith,Jul , 22 , 2018, Decision ,Unanimous,Leon Roberts
Aleksandar Rakic,win, Francimar Barroso, 3, 5:00, UFC Fight Night 115 - Volkov vs. Struve,Sep , 02 , 2017, Decision ,Unanimous,Marc Goddard
Aleksandar Rakic,win, Sergio Souza, 1, N/A, AFC - Austrian Fight Challenge 5,Mar , 04 , 2017, TKO ,Punches,Grant Waterman
Aleksandar Rakic,win, Martin Batur, 1, 0:26, AFC - Austrian Fight Challenge 1,Jun , 20 , 2015, KO ,Punch,Jan Vobornik
Aleksandar Rakic,win, Marcin Prachnio, 3, 3:00, FFC - Final Fight Championship 16,Dec , 06 , 2014, TKO ,Punches,Zlatko Klaric
Aleksandar Rakic,win, Norbert Peter, 1, 4:57, HG - Heimgala 2,Sep , 13 , 2014, TKO ,Punches,Ceyrhan Bayrakci
Aleksandar Rakic,win, Peter Rozmaring, 1, 1:32, Vendetta - Rookies 2,Jul , 06 , 2013, Submission ,North-South Choke,Ceyrhan Bayrakci
Aleksandar Rakic,win, Laszlo Czene, 1, 0:00, WFC - Challengers 3,Jun , 03 , 2012, KO ,Head Kick,N/A
Aleksandar Rakic,win, Richard Longhimo, 2, 4:30, Iron Fist - Vendetta 3,Mar , 18 , 2012, TKO ,Punches,N/A
Aleksandar Rakic,win, Carsten Lorenz, 1, 1:42, FFA - New Talents 15,Feb , 04 , 2012, TKO ,Punches,Reiko Bertz
Aleksandar Rakic,loss, Christian Radke, 1, 4:34, RTC - Rock the Cage 2,Oct , 15 , 2011, Submission ,Guillotine Choke,N/A
