Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Corey Anderson ,win, Ilir Latifi, 3, 5:00, UFC 232 - Jones vs. Gustafsson 2,Dec , 29 , 2018, Decision ,Unanimous,Marc Goddard
Corey Anderson ,win, Glover Teixeira, 3, 5:00, UFC Fight Night 134 - Shogun vs. Smith,Jul , 22 , 2018, Decision ,Unanimous,Leon Roberts
Corey Anderson ,win, Patrick Cummins, 3, 5:00, UFC Fight Night 128 - Barboza vs. Lee,Apr , 21 , 2018, Decision ,Unanimous,Marc Goddard
Corey Anderson ,loss, Ovince St. Preux, 3, 1:25, UFC 217 - Bisping vs. St. Pierre,Nov , 04 , 2017, KO ,Head Kick,Dan Miragliotta
Corey Anderson ,loss, Jimi Manuwa, 1, 3:05, UFC Fight Night 107 - Manuwa vs. Anderson,Mar , 18 , 2017, KO ,Punch,Leon Roberts
Corey Anderson ,win, Sean O'Connell, 2, 2:36, UFC Fight Night 102 - Lewis vs. Abdurakhimov,Dec , 09 , 2016, TKO ,Punches,Todd Anderson
Corey Anderson ,loss, Mauricio Rua, 3, 5:00, UFC 198 - Werdum vs. Miocic,May , 14 , 2016, Decision ,Split,Mario Yamasaki
Corey Anderson ,win, Tom Lawlor, 3, 5:00, UFC 196 - McGregor vs. Diaz,Mar , 05 , 2016, Decision ,Unanimous,John McCarthy
Corey Anderson ,win, Fabio Maldonado, 3, 5:00, UFC Fight Night 77 - Belfort vs. Henderson 3,Nov , 07 , 2015, Decision ,Unanimous,Herb Dean
Corey Anderson ,win, Jan Blachowicz, 3, 5:00, UFC 191 - Johnson vs. Dodson 2,Sep , 05 , 2015, Decision ,Unanimous,Herb Dean
Corey Anderson ,loss, Gian Villante, 3, 4:18, UFC on Fox 15 - Machida vs. Rockhold,Apr , 18 , 2015, TKO ,Punches,Liam Kerrigan
Corey Anderson ,win, Justin Jones, 3, 5:00, UFC 181 - Hendricks vs. Lawler 2,Dec , 06 , 2014, Decision ,Unanimous,John McCarthy
Corey Anderson ,win, Matt Van Buren, 1, 1:01, UFC - The Ultimate Fighter 19 Finale,Jul , 06 , 2014, TKO ,Punches,Mario Yamasaki
Corey Anderson ,win, Stephen Flanagan, 1, 3:03, MMA Xtreme - Fists Will Fly,Aug , 24 , 2013, TKO ,Punches,Gary Copeland
Corey Anderson ,win, Myron Dennis, 5, 5:00, Xtreme Fighting League - Vengeance,Jun , 28 , 2013, Decision ,Unanimous,N/A
Corey Anderson ,win, J.R. Briones, 1, 3:01, NAFC - Battleground,Mar , 29 , 2013, TKO ,Punches,Al Wichgers
Corey Anderson ,Result, Fighter, R, Time, E,vent,,, Method/Referee,,
Corey Anderson ,win, Patrick Walsh,3,5:00,UFC - The Ultimate Fighter Season 19 Semifinals Day 1,Nov , 21 , 2013,Decision ,Unanimous,Chris Tognoni
Corey Anderson ,win, Josh Clark,2,5:00,UFC - The Ultimate Fighter Season 19 Quarterfinals Day 4,Nov , 05 , 2013,Decision ,Unanimous,Chris Tognoni
Corey Anderson ,win, Kelly Anundson, 2, 5:00, UFC - The Ultimate Fighter Season 19 Elimination Fights,Oct , 16 , 2013, Decision ,Unanimous,Kim Winslow
