Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Glover Teixeir,win, Ion Cutelaba, 2, 3:37, UFC Fight Night 150 - Jacare vs. Hermansson,Apr , 27 , 2019, Submission ,Rear-Naked Choke,Alan Abeles
Glover Teixeir,win, Karl Roberson, 1, 3:21, UFC Fight Night 143 - Cejudo vs. Dillashaw,Jan , 19 , 2019, Submission ,Arm-Triangle Choke,Dan Miragliotta
Glover Teixeir,loss, Corey Anderson, 3, 5:00, UFC Fight Night 134 - Shogun vs. Smith,Jul , 22 , 2018, Decision ,Unanimous,Leon Roberts
Glover Teixeir,win, Misha Cirkunov, 1, 2:45, UFC on Fox 26 - Lawler vs. dos Anjos,Dec , 16 , 2017, TKO ,Punches,Dan Miragliotta
Glover Teixeir,loss, Alexander Gustafsson, 5, 1:07, UFC Fight Night 109 - Gustafsson vs. Teixeira ,May , 28 , 2017, KO ,Punches,Marc Goddard
Glover Teixeir,win, Jared Cannonier, 3, 5:00, UFC 208 - Holm vs. De Randamie,Feb , 11 , 2017, Decision ,Unanimous,Kevin MacDonald
Glover Teixeir,loss, Anthony Johnson, 1, 0:13, UFC 202 - Diaz vs. McGregor 2,Aug , 20 , 2016, KO ,Punch,Dan Miragliotta
Glover Teixeir,win, Rashad Evans, 1, 1:48, UFC on Fox 19 - Teixeira vs. Evans,Apr , 16 , 2016, KO ,Punches,Herb Dean
Glover Teixeir,win, Patrick Cummins, 2, 1:12, UFC Fight Night 77 - Belfort vs. Henderson 3,Nov , 07 , 2015, TKO ,Punches,Herb Dean
Glover Teixeir,win, Ovince St. Preux, 3, 3:10, UFC Fight Night 73 - Teixeira vs. St. Preux,Aug , 08 , 2015, Technical Submission ,Rear-Naked Choke,John McCarthy
Glover Teixeir,loss, Phil Davis, 3, 5:00, UFC 179 - Aldo vs. Mendes 2,Oct , 25 , 2014, Decision ,Unanimous,Mario Yamasaki
Glover Teixeir,loss, Jon Jones, 5, 5:00, UFC 172 - Jones vs. Teixeira,Apr , 26 , 2014, Decision ,Unanimous,Dan Miragliotta
Glover Teixeir,win, Ryan Bader, 1, 2:55, UFC Fight Night 28 - Teixeira vs. Bader,Sep , 04 , 2013, TKO ,Punches,Herb Dean
Glover Teixeir,win, James Te Huna, 1, 2:38, UFC 160 - Velasquez vs. Bigfoot 2,May , 25 , 2013, Submission ,Guillotine Choke,Herb Dean
Glover Teixeir,win, Quinton Jackson, 3, 5:00, UFC on Fox 6 - Johnson vs. Dodson,Jan , 26 , 2013, Decision ,Unanimous,Herb Dean
Glover Teixeir,win, Fabio Maldonado, 2, 5:00, UFC 153 - Silva vs. Bonnar,Oct , 13 , 2012, TKO ,Doctor Stoppage,Mario Yamasaki
Glover Teixeir,win, Kyle Kingsbury, 1, 1:53, UFC 146 - Dos Santos vs. Mir,May , 26 , 2012, Submission ,Arm-Triangle Choke,Steve Mazzagatti
Glover Teixeir,win, Ricco Rodriguez, 1, 1:58, MMAAD - MMA Against Dengue,Nov , 27 , 2011, TKO ,Submission to Punches,N/A
Glover Teixeir,win, Marvin Eastman, 1, 4:00, Shooto Brazil 25 - Fight for BOPE,Aug , 25 , 2011, KO ,Punch,Cacau
Glover Teixeir,win, Antonio Mendes, 1, 4:06, Shooto Brazil - Shooto Brazil 24,Aug , 05 , 2011, Submission ,Rear-Naked Choke,Marlon Sandro
Glover Teixeir,win, Marcio Cruz, 2, 4:21, Fight Club 1 - Brazilian Stars,Jul , 20 , 2011, TKO ,Punches,Artur Mariano
Glover Teixeir,win, Simao Melo da Silva, 1, 1:49, Shooto Brazil - Shooto Brazil 23,Jun , 04 , 2011, KO ,Punches,N/A
Glover Teixeir,win, Daniel Tabera, 3, 5:00, Bitetti Combat 8 - 100 Years of Corinthians,Dec , 04 , 2010, Decision ,Unanimous,N/A
Glover Teixeir,win, Marko Peselj, 1, 2:55, Impact FC 2 - The Uprising: Sydney,Jul , 18 , 2010, TKO ,Punches,John McCarthy
Glover Teixeir,win, Tiago Monaco Tosato, 1, 1:27, BC - Bitetti Combat 7,May , 28 , 2010, TKO ,Punches,Mario Yamasaki
Glover Teixeir,win, Joaquim Ferreira, 2, 1:30, BC - Bitetti Combat 6,Feb , 25 , 2010, TKO ,Corner Stoppage,Mario Yamasaki
Glover Teixeir,win, Leonardo Nascimento Lucio, 1, 3:11, BC - Bitetti Combat 4,Sep , 12 , 2009, Technical Submission ,Guillotine Choke,John McCarthy
Glover Teixeir,win, Buckley Acosta, 1, 1:00, PFC 7 - Palace Fighting Championship 7,Mar , 20 , 2008, TKO ,Punches,N/A
Glover Teixeir,win, Jorge Oliveira,1,0:05,"PFC 6 -No Retreat,No Surrender",Jan , 17 , 2008,KO ,Punches,N/A
Glover Teixeir,win, Rameau Thierry Sokoudjou, 1, 1:41, WEC 24 - Full Force,Oct , 12 , 2006, KO ,Punches,Jon Schorle
Glover Teixeir,win, Jack Morrison, 1, 1:27, WEC 22 - The Hitman,Jul , 28 , 2006, Submission ,Rear-Naked Choke,Nathan Gullian
Glover Teixeir,win, Carlton Jones, 1, 1:57, WEC 20 - Cinco de Mayhem,May , 05 , 2006, TKO ,Punches,Jon Schorle
Glover Teixeir,loss, Ed Herman, 3, 5:00, SF 9 - Respect,Mar , 26 , 2005, Decision ,Unanimous,N/A
Glover Teixeir,win, Justin Ellison, 1, N/A, SF 5 - Stadium,Aug , 28 , 2004, TKO ,Punches,N/A
Glover Teixeir,win, Matt Horwich, 3, 5:00, SF 3 - Dome,Apr , 17 , 2004, Decision ,Unanimous,N/A
Glover Teixeir,loss, Eric Schwartz, 2, 3:33, WEC 3 - All or Nothing,Jun , 07 , 2002, TKO ,Punches and Elbows,N/A
