Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Ilir Latifi,loss, Corey Anderson, 3, 5:00, UFC 232 - Jones vs. Gustafsson 2,Dec , 29 , 2018, Decision ,Unanimous,Marc Goddard
Ilir Latifi,win, Ovince St. Preux, 1, 3:48, UFC on Fox 28 - Emmett vs. Stephens,Feb , 24 , 2018, Submission ,Guillotine Choke,N/A
Ilir Latifi,win, Tyson Pedro, 3, 5:00, UFC 215 - Nunes vs. Shevchenko 2,Sep , 09 , 2017, Decision ,Unanimous,Dan Miragliotta
Ilir Latifi,loss, Ryan Bader, 2, 2:06, UFC Fight Night 93 - Arlovski vs. Barnett,Sep , 03 , 2016, KO ,Knee,Neil Hall
Ilir Latifi,win, Gian Villante, 3, 5:00, UFC 196 - McGregor vs. Diaz,Mar , 05 , 2016, Decision ,Unanimous,Yves Lavigne
Ilir Latifi,win, Sean O'Connell, 1, 0:30, UFC Fight Night 81 - Dillashaw vs. Cruz,Jan , 17 , 2016, TKO ,Punches,Kevin MacDonald
Ilir Latifi,win, Hans Stringer, 1, 0:56, UFC Fight Night 72 - Bisping vs. Leites,Jul , 18 , 2015, KO ,Punches,Grant Waterman
Ilir Latifi,loss, Jan Blachowicz, 1, 1:58, UFC Fight Night 53 - Nelson vs. Story,Oct , 04 , 2014, TKO ,Kick to the Body and Punches,Grant Waterman
Ilir Latifi,win, Chris Dempsey, 1, 2:07, UFC Fight Night 46 - McGregor vs. Brandao,Jul , 19 , 2014, KO ,Punches,Leon Roberts
Ilir Latifi,win, Cyrille Diabate, 1, 3:02, UFC Fight Night 37 - Gustafsson vs. Manuwa,Mar , 08 , 2014, Submission ,Guillotine Choke,Leon Roberts
Ilir Latifi,loss, Gegard Mousasi, 3, 5:00, UFC on Fuel TV 9 - Mousasi vs. Latifi,Apr , 06 , 2013, Decision ,Unanimous,Marc Goddard
Ilir Latifi,win, Jorge Oliveira, 3, 5:00, Superior Challenge 8 - Malmo,Oct , 06 , 2012, Decision ,Unanimous,N/A
Ilir Latifi,win, Tony Lopez, 3, 5:00, United Glory - 2012 Glory World Series,May , 26 , 2012, Decision ,Unanimous,N/A
Ilir Latifi,win, Denis Bogdanov, 1, 0:00, United Glory 15 - 2012 Glory World Series,Mar , 23 , 2012, Submission ,Keylock,N/A
Ilir Latifi,loss, Emanuel Newton, 3, 5:00, SF 17 - Horwich vs. Rosholt 2,Jul , 15 , 2011, Decision ,Unanimous,Jason Stafin
Ilir Latifi,win, Matteo Minonzio, 1, 4:29, SHC 2 - Battle For The Belt,Apr , 10 , 2010, TKO ,Head Kick,N/A
Ilir Latifi,loss, Tatsuya Mizuno, 3, 0:15, ROTK - Rumble of the Kings 4,Nov , 20 , 2009, TKO ,Knee and Punches,Robert Sundel
Ilir Latifi,win, Darko Krbanjevic, 1, 1:43, ROTK - Rumble of the Kings 3,May , 22 , 2009, Submission ,Keylock,N/A
Ilir Latifi,win, Luis Pinho, 1, 1:20, ROTK - Rumble of the Kings 2,Feb , 27 , 2009, TKO ,Submission to Punches,N/A
Ilir Latifi,win, Roman Mihocka, 2, 1:55, Superior Challenge 2 - Resurrection,Oct , 25 , 2008, KO ,Punches,N/A
Ilir Latifi,NC, Blagoy Ivanov, 1, 0:55, RPC 2 - Real Pain Challenge 2,May , 17 , 2008, No Contest ,Ring Broke,N/A
Ilir Latifi,Result, Fighter, R, Time, E,vent,,, Method/Referee,,
Ilir Latifi,win, Christian Colombo, 1, N/A, Adrenaline 3 - Evolution,Sep , 06 , 2008, Submission ,North-South Choke,N/A
