Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Mauricio Ru,win, Tyson Pedro, 3, 0:43, UFC Fight Night 142 - Dos Santos vs. Tuivasa,Dec , 01 , 2018, TKO ,Punches,Steve Perceval
Mauricio Ru,loss, Anthony Smith, 1, 1:29, UFC Fight Night 134 - Shogun vs. Smith,Jul , 22 , 2018, KO ,Elbow,Marc Goddard
Mauricio Ru,win, Gian Villante, 3, 0:59, UFC Fight Night 106 - Belfort vs. Gastelum,Mar , 11 , 2017, TKO ,Punches,Mario Yamasaki
Mauricio Ru,win, Corey Anderson, 3, 5:00, UFC 198 - Werdum vs. Miocic,May , 14 , 2016, Decision ,Split,Mario Yamasaki
Mauricio Ru,win, Antonio Rogerio Nogueira, 3, 5:00, UFC 190 - Rousey vs. Correia,Aug , 01 , 2015, Decision ,Unanimous,Mario Yamasaki
Mauricio Ru,loss, Ovince St. Preux, 1, 0:34, UFC Fight Night 56 - Shogun vs. St. Preux,Nov , 08 , 2014, KO ,Punches,Mario Yamasaki
Mauricio Ru,loss, Dan Henderson, 3, 1:31, UFC Fight Night 38 - Shogun vs. Henderson 2,Mar , 23 , 2014, TKO ,Punches,Herb Dean
Mauricio Ru,win, James Te Huna, 1, 1:03, UFC Fight Night 33 - Hunt vs. Bigfoot,Dec , 07 , 2013, KO ,Punch,John Sharp
Mauricio Ru,loss, Chael Sonnen, 1, 4:47, UFC Fight Night 26 - Shogun vs. Sonnen,Aug , 17 , 2013, Submission ,Guillotine Choke,Herb Dean
Mauricio Ru,loss, Alexander Gustafsson, 3, 5:00, UFC on Fox 5 - Henderson vs. Diaz,Dec , 08 , 2012, Decision ,Unanimous,Dan Miragliotta
Mauricio Ru,win, Brandon Vera, 4, 4:09, UFC on Fox 4 - Shogun vs. Vera,Aug , 04 , 2012, TKO ,Punches,Herb Dean
Mauricio Ru,loss, Dan Henderson, 5, 5:00, UFC 139 - Shogun vs. Henderson,Nov , 19 , 2011, Decision ,Unanimous,Josh Rosenthal
Mauricio Ru,win, Forrest Griffin, 1, 1:53, UFC 134 - Silva vs. Okami,Aug , 27 , 2011, KO ,Punches,Marc Goddard
Mauricio Ru,loss, Jon Jones, 3, 2:37, UFC 128 - Shogun vs. Jones,Mar , 19 , 2011, TKO ,Punches and Knees,Herb Dean
Mauricio Ru,win, Lyoto Machida, 1, 3:35, UFC 113 - Machida vs. Shogun 2,May , 08 , 2010, KO ,Punches,Yves Lavigne
Mauricio Ru,loss, Lyoto Machida, 5, 5:00, UFC 104 - Machida vs. Shogun,Oct , 24 , 2009, Decision ,Unanimous,Herb Dean
