Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Misha Cirkunov,loss, Johnny Walker, 1, 0:38, UFC 235 - Jones vs. Smith,Mar , 02 , 2019, TKO ,Flying Knee and Punches,Herb Dean
Misha Cirkunov,win, Patrick Cummins, 1, 2:40, UFC Fight Night 138 - Oezdemir vs. Smith,Oct , 27 , 2018, Submission ,Arm-Triangle Choke,Yves Lavigne
Misha Cirkunov,loss, Glover Teixeira, 1, 2:45, UFC on Fox 26 - Lawler vs. dos Anjos,Dec , 16 , 2017, TKO ,Punches,Dan Miragliotta
Misha Cirkunov,loss, Volkan Oezdemir, 1, 0:28, UFC Fight Night 109 - Gustafsson vs. Teixeira ,May , 28 , 2017, KO ,Punch,Kevin Sataki
Misha Cirkunov,win, Nikita Krylov, 1, 4:38, UFC 206 - Holloway vs. Pettis,Dec , 10 , 2016, Submission ,Guillotine Choke,John McCarthy
Misha Cirkunov,win, Ion Cutelaba, 3, 1:22, UFC Fight Night 89 - MacDonald vs. Thompson,Jun , 18 , 2016, Submission ,Arm-Triangle Choke,Herb Dean
Misha Cirkunov,win, Alex Nicholson, 2, 1:28, UFC Fight Night 82 - Hendricks vs. Thompson,Feb , 06 , 2016, Submission ,Neck Crank,Herb Dean
Misha Cirkunov,win, Daniel Jolly, 1, 4:45, UFC Fight Night 74 - Holloway vs. Oliveira,Aug , 23 , 2015, KO ,Punches,Jerin Valel
Misha Cirkunov,win, Shaun Asher, 1, 1:20, HKFC - Hard Knocks 43,May , 22 , 2015, Submission ,Armbar,Adam Cheadle
Misha Cirkunov,win, Rodney Wallace, 1, 2:00, HKFC  - Hard Knocks 41,Jan , 30 , 2015, TKO ,Head Kick,Adam Cheadle
Misha Cirkunov,win, Martin Desilets, 1, 2:36, PFC 2 - Fight Night,Mar , 08 , 2014, Technical Submission ,Triangle Choke,N/A
Misha Cirkunov,win, Jon Ganshorn, 1, 1:59, FFL 9 - Northern Nightmare,Sep , 07 , 2013, Submission ,Armbar,Kyle Cardinal
Misha Cirkunov,loss, Aaron Johnson, 1, 2:11, King of the Ring - VI,Mar , 17 , 2012, Submission ,Heel Hook,N/A
Misha Cirkunov,win, Ali Mokdad, 3, 5:00, SFS 3 - Meltdown in the Valley,Dec , 03 , 2011, Decision ,Unanimous,Dan Miragliotta
Misha Cirkunov,win, Ion Cherdivara, 3, 5:00, Knockout Entertainment - MMA: The Reckoning,Apr , 02 , 2011, Decision ,Unanimous,Dan Miragliotta
Misha Cirkunov,win, Ricardeau Francois, 1, 0:56, UGC 26 - Ultimate Generation Combat 26,Mar , 04 , 2011, TKO ,Punches,N/A
Misha Cirkunov,win, Shawn Pauliuk, 1, 0:57, AFC 3 - Evolution,Jul , 17 , 2010, Submission ,Punches,Mac Danzig
Misha Cirkunov,loss, Roy Boughton, 2, 2:33, W-1 MMA 5 - Judgment Day,Jun , 19 , 2010, Submission ,Armbar,N/A
Misha Cirkunov,win, Jeff Doyle, 1, 0:40, Ringside MMA 5 - Triple Threat,Jan , 30 , 2010, TKO ,Punches,N/A
