Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Nikita Krylov ,win, Ovince St. Preux, 2, 2:30, UFC 236 - Holloway vs. Poirier,Apr , 13 , 2019, Submission ,Rear-Naked Choke,Blake Grice
Nikita Krylov ,loss, Jan Blachowicz, 2, 2:41, UFC Fight Night 136 - Hunt vs. Oleynik,Sep , 15 , 2018, Submission ,Arm-Triangle Choke,Marc Goddard
Nikita Krylov ,win, Fabio Maldonado, 2, 3:33, FNG - Fight Nights Global 87,May , 19 , 2018, KO ,Punch,Jan Vobornik
Nikita Krylov ,win, Emanuel Newton, 1, 0:43, FNG - Fight Nights Global 77,Oct , 13 , 2017, KO ,Knee,Dmitry Valuevich
Nikita Krylov ,win, Maro Perak, 2, 0:36, Donbass Association of Combat Sports - United Donbass,Aug , 26 , 2017, TKO ,Punches,N/A
Nikita Krylov ,win, Stjepan Bekavac, 1, 0:53, FNG - Fight Nights Global 68,Jun , 02 , 2017, Submission ,Guillotine Choke,Herb Dean
Nikita Krylov ,loss, Misha Cirkunov, 1, 4:38, UFC 206 - Holloway vs. Pettis,Dec , 10 , 2016, Submission ,Guillotine Choke,John McCarthy
Nikita Krylov ,win, Ed Herman, 2, 0:40, UFC 201 - Lawler vs. Woodley,Jul , 30 , 2016, KO ,Head Kick,Marc Goddard
Nikita Krylov ,win, Francimar Barroso, 2, 3:11, UFC Fight Night 87 - Overeem vs. Arlovski,May , 08 , 2016, Submission ,Rear-Naked Choke,Lukasz Bosacki
Nikita Krylov ,win, Marcos Rogerio de Lima, 1, 2:29, UFC Fight Night 74 - Holloway vs. Oliveira,Aug , 23 , 2015, Submission ,Rear-Naked Choke,Herb Dean
Nikita Krylov ,win, Stanislav Nedkov, 1, 1:24, UFC on Fox 14 - Gustafsson vs. Johnson,Jan , 24 , 2015, Submission ,Guillotine Choke,Marc Goddard
Nikita Krylov ,win, Cody Donovan, 1, 4:57, UFC Fight Night 46 - McGregor vs. Brandao,Jul , 19 , 2014, TKO ,Punches,Marc Goddard
Nikita Krylov ,loss, Ovince St. Preux, 1, 1:29, UFC 171 - Hendricks vs. Lawler,Mar , 15 , 2014, Technical Submission ,Shoulder Choke,Dan Miragliotta
Nikita Krylov ,win, Walt Harris, 1, 0:25, UFC on Fox 10 - Henderson vs. Thomson,Jan , 25 , 2014, TKO ,Head Kick and Punches,Rob Madrigal
Nikita Krylov ,loss, Soa Palelei, 3, 1:34, UFC 164 - Henderson vs. Pettis 2,Aug , 31 , 2013, TKO ,Punches,Al Wichgers
Nikita Krylov ,win, Gabriel Tampu, 1, 4:27, M-1 Challenge 38 - Spring Battle,Apr , 09 , 2013, TKO ,Punches,Marco Broersen
Nikita Krylov ,loss, Vladimir Mishchenko, 1, 0:58, OC - Oplot Challenge 40,Mar , 08 , 2013, Submission ,Arm-Triangle Choke,Andrey Kolovorotny
Nikita Krylov ,win, Julian Bogdanov, 1, 1:17, GFC 2 - Gladiators Fighting Championship,Jan , 19 , 2013, KO ,Punch,Vladimir Derebas
Nikita Krylov ,loss, Vladimir Mishchenko, 1, 1:47, OC - Oplot Challenge 22,Dec , 29 , 2012, Submission ,Arm-Triangle Choke,Anton Bochorishvili
Nikita Krylov ,win, Denis Simkin, 1, 0:35, GFC 1 - Gladiators Fighting Championship,Dec , 22 , 2012, Submission ,Keylock,Alexandr Lavrenchuk
Nikita Krylov ,win, Valeriy Shcherbakov, 1, 1:38, WH - Igor Vovchanchyn Cup 2,Nov , 09 , 2012, Submission ,Achilles Lock,N/A
Nikita Krylov ,win, Vladimir Gerasimchik, 1, 1:35, OC - Oplot Challenge 7,Oct , 20 , 2012, Submission ,Kimura,Anton Bochorishvili
Nikita Krylov ,win, Igor Kukurudziak, 1, 2:47, ECSF - Kolomyi Cup,Oct , 13 , 2012, Submission ,Kimura,Vitali Vovk
Nikita Krylov ,win, Viktor Smirnov, 1, 0:12, ECSF - MMA Lion Cup,Oct , 02 , 2012, TKO ,Doctor Stoppage,Vitali Vovk
Nikita Krylov ,win, Anatoliy Didenko, 1, 0:29, OC - Oplot Challenge 4,Sep , 15 , 2012, Submission ,Achilles Lock,N/A
Nikita Krylov ,win, Alexey Stepanov, 1, 0:29, ECSF - MMA Ukraine Cup 7,Sep , 14 , 2012, Submission ,Rear-Naked Choke,Alexander Lavrenchuk
Nikita Krylov ,win, Svyatoslav Scherbakov, 1, 1:44, ECSF - MMA Ukraine Cup 6,Aug , 26 , 2012, Submission ,Armbar,N/A
Nikita Krylov ,win, Anatoliy Didenko, 1, 2:08, ECSF - MMA Ukraine Cup 5,Aug , 18 , 2012, Submission ,Rear-Naked Choke,N/A
Nikita Krylov ,win, Alexey Artemenko, 1, 2:20, BBF - Big Boys Fights,Aug , 16 , 2012, Submission ,Guillotine Choke,Alexandr Lavrenchuk
Nikita Krylov ,win, Denis Bogdanov, 1, 1:31, ECSF - Cup Of West Ukraine 2012,Aug , 10 , 2012, Submission ,Rear-Naked Choke,N/A
Nikita Krylov ,win, Alexander Umrikhin, 1, 0:56, RFP - West Fight 4,Jul , 27 , 2012, TKO ,Punches,N/A
Nikita Krylov ,Result, Fighter, R, Time, E,vent,,, Method/Referee,,
Nikita Krylov ,loss, Akhmedshaikh Gelegaev, 1, 2:26, LK - Liga Kavkaz 2012,Jul , 03 , 2012, Submission ,Armbar,N/A
