Fighter,Result, Opponent, R, Time,Event,Month,Day,Year,Method,Finish,Referee
Volkan Oezdemir,loss, Daniel Cormier, 2, 2:00, UFC 220 - Miocic vs. Ngannou,Jan , 20 , 2018, TKO ,Punches,Kevin MacDonald
Volkan Oezdemir,win, Jimi Manuwa, 1, 0:42, UFC 214 - Cormier vs. Jones 2,Jul , 29 , 2017, KO ,Punches,Jason Herzog
Volkan Oezdemir,win, Misha Cirkunov, 1, 0:28, UFC Fight Night 109 - Gustafsson vs. Teixeira ,May , 28 , 2017, KO ,Punch,Kevin Sataki
Volkan Oezdemir,win, Ovince St. Preux, 3, 5:00, UFC Fight Night 104 - Bermudez vs. Korean Zombie,Feb , 04 , 2017, Decision ,Split,Chris Reed
Volkan Oezdemir,win, Alikhan Vakhaev, 3, 5:00, WFCA 17 - Grand Prix Akhmat ,Apr , 09 , 2016, Decision ,Unanimous,N/A
Volkan Oezdemir,win, Paco Estevez, 1, N/A, SHC 10 - Carvalho vs. Belo,Sep , 20 , 2014, TKO ,Punches,N/A
Volkan Oezdemir,loss, Kelly Anundson, 2, 3:19, Bellator MMA - Bellator 115,Apr , 04 , 2014, Submission ,Neck Crank,Herb Dean
Volkan Oezdemir,win, Josh Lanier, 1, 3:13, Bellator MMA - Bellator 105,Oct , 25 , 2013, TKO ,Punches and Elbows,Robert Romero
Volkan Oezdemir,win, David Round, 1, 0:00, WKN - Valhalla: Battle of the Vikings,Mar , 09 , 2013, TKO ,Punches,N/A
Volkan Oezdemir,win, Angelier Benjamin, 1, 0:45, WKN - Valhalla: Battle of the Vikings,Mar , 09 , 2013, KO ,Punches,N/A
Volkan Oezdemir,win, Benyaich Mohamed, 1, 0:15, WKN - Valhalla: Battle of the Vikings,Mar , 09 , 2013, TKO ,Punches,N/A
Volkan Oezdemir,win, Mohamed Amidi, 1, 1:59, SHC 6 - Belo vs. Rodriguez,Oct , 06 , 2012, TKO ,Punches,Boris Regard
Volkan Oezdemir,win, Bruno Farias Grancheux, 1, 1:54, Lions FC 4 - Lions Fighting Championship 4,Sep , 15 , 2012, TKO ,Punches,N/A
Volkan Oezdemir,win, Ronilson Santos, 1, 2:12, Lions FC 3 - Lions Fighting Championship 3,May , 12 , 2012, TKO ,Retirement,N/A
Volkan Oezdemir,win, Mamadou Cisse, 1, 3:43, 100% Fight 10 - Supreme League Block C,Apr , 07 , 2012, Submission ,Kimura,Ludovic Dandine
Volkan Oezdemir,win, Boubacar Balde, 3, 5:00, Lions FC - Lions Fighting Championship,Oct , 15 , 2011, Decision ,Unanimous,Jonatas Novaes
Volkan Oezdemir,win, Martin Vath, 1, 0:56, Shooto - Switzerland 7,Sep , 04 , 2010, TKO ,Punches,N/A
